"Time","Digital_FlowMeter","Real_FlowMeter"
"2019-01-16 13:03:02","61.4000","67.4000"
"2019-01-16 13:03:03","59.4000","67.4000"
"2019-01-16 13:03:04","62.4000","67.4000"
"2019-01-16 13:03:05","58.4000","67.4000"
"2019-01-16 13:03:06","59.4000","67.4000"
"2019-01-16 13:03:07","57.4000","67.4000"
"2019-01-16 13:03:08","61.4000","67.4000"
"2019-01-16 13:03:09","57.4000","67.4000"
"2019-01-16 13:03:10","62.4000","67.4000"
"2019-01-16 13:03:11","57.4000","67.4000"
"2019-01-16 13:03:12","60.4000","67.4000"
"2019-01-16 13:03:13","64.4000","67.4000"
"2019-01-16 13:03:14","57.4000","67.4000"
"2019-01-16 13:03:15","64.4000","67.4000"
"2019-01-16 13:03:16","60.4000","67.4000"
"2019-01-16 13:03:17","58.4000","67.4000"
"2019-01-16 13:03:18","60.4000","67.4000"
"2019-01-16 13:03:19","64.4000","67.4000"
"2019-01-16 13:03:20","58.4000","67.4000"
"2019-01-16 13:03:21","66.4000","67.4000"
"2019-01-16 13:03:22","57.4000","67.4000"
"2019-01-16 13:03:23","57.4000","67.4000"
"2019-01-16 13:03:24","66.4000","67.4000"
"2019-01-16 13:03:25","65.4000","67.4000"
"2019-01-16 13:03:26","60.4000","67.4000"
"2019-01-16 13:03:27","59.4000","67.4000"
"2019-01-16 13:03:28","61.4000","67.4000"
"2019-01-16 13:03:29","64.4000","67.4000"
"2019-01-16 13:03:30","66.4000","67.4000"
"2019-01-16 13:03:31","60.4000","67.4000"
"2019-01-16 13:03:32","65.4000","67.4000"
"2019-01-16 13:03:33","59.4000","67.4000"
"2019-01-16 13:03:34","58.4000","67.4000"
"2019-01-16 13:03:35","57.4000","67.4000"
"2019-01-16 13:03:36","59.4000","67.4000"
"2019-01-16 13:03:37","61.4000","67.4000"
"2019-01-16 13:03:38","65.4000","67.4000"
"2019-01-16 13:03:39","65.4000","67.4000"
"2019-01-16 13:03:40","57.4000","67.4000"
"2019-01-16 13:03:41","58.4000","67.4000"
"2019-01-16 13:03:42","58.4000","67.4000"
"2019-01-16 13:03:43","61.4000","67.4000"
"2019-01-16 13:03:44","66.4000","67.4000"
"2019-01-16 13:03:45","63.4000","67.4000"
"2019-01-16 13:03:46","61.4000","67.4000"
"2019-01-16 13:03:47","61.4000","67.4000"
"2019-01-16 13:03:48","58.4000","67.4000"
"2019-01-16 13:03:49","64.4000","67.4000"
"2019-01-16 13:03:50","65.4000","67.4000"
"2019-01-16 13:03:51","62.4000","67.4000"
"2019-01-16 13:03:52","57.4000","67.4000"
"2019-01-16 13:03:53","65.4000","67.4000"
"2019-01-16 13:03:54","63.4000","67.4000"
"2019-01-16 13:03:55","63.4000","67.4000"
"2019-01-16 13:03:56","65.4000","67.4000"
"2019-01-16 13:03:57","58.4000","67.4000"
"2019-01-16 13:03:58","64.4000","67.4000"
"2019-01-16 13:03:59","61.4000","67.4000"
"2019-01-16 13:04:00","60.4000","67.4000"
"2019-01-16 13:04:01","60.4000","67.4000"
"2019-01-16 13:04:02","62.4000","67.4000"
"2019-01-16 13:04:03","63.4000","67.4000"
"2019-01-16 13:04:04","61.4000","67.4000"
"2019-01-16 13:04:05","59.4000","67.4000"
"2019-01-16 13:04:06","62.4000","67.4000"
"2019-01-16 13:04:07","63.4000","67.4000"
"2019-01-16 13:04:08","63.4000","67.4000"
"2019-01-16 13:04:09","65.4000","67.4000"
"2019-01-16 13:04:10","58.4000","67.4000"
"2019-01-16 13:04:11","58.4000","67.4000"
"2019-01-16 13:04:12","61.4000","67.4000"
"2019-01-16 13:04:13","59.4000","67.4000"
"2019-01-16 13:04:14","58.4000","67.4000"
"2019-01-16 14:01:41","67.4000","67.4000"
